gender,age,study_hours_per_day,attendance_percentage,parental_education,internet_access,previous_grade,assignments_completed,sleep_hours,extracurricular_participation,final_exam_score,result
Female,17,2.93,98.13,Diploma,Yes,54.89,8,7.59,No,59.27,Pass
Female,15,2.34,67.21,Master,Yes,48.83,1,8.43,No,42.51,Pass
Female,17,3.37,88.97,Bachelor,Yes,57.12,9,6.8,No,53.33,Pass
Male,17,3.72,92.49,Bachelor,No,67.98,0,4.75,No,57.76,Pass
Male,16,0.55,87.17,Diploma,No,43.21,1,6.99,Yes,34.69,Fail
Female,16,4.69,84.28,Bachelor,Yes,48.46,1,5.87,No,52.01,Pass
Female,15,4.42,82.59,Bachelor,No,92.12,10,6.26,No,83.21,Pass
Female,17,2.51,94.44,Bachelor,Yes,69.86,4,8.8,No,63.83,Pass
Male,15,0.79,92.87,Master,Yes,43.49,0,6.77,No,23.72,Fail
Female,18,4.65,64.89,Diploma,Yes,78.12,9,4.75,No,84.72,Pass
Male,15,5.75,93.94,High School,No,43.4,7,6.22,Yes,74.05,Pass
Male,19,1.82,76.56,Bachelor,Yes,80.64,1,5.14,No,53.82,Pass
Male,15,2.28,70.15,Diploma,No,81.25,5,4.68,Yes,70.0,Pass
Male,19,1.51,94.79,High School,No,75.81,4,7.56,Yes,55.44,Pass
Male,19,3.67,77.28,Master,Yes,80.27,1,7.14,Yes,63.29,Pass
Female,19,1.35,92.33,Diploma,Yes,44.84,9,6.49,Yes,51.68,Pass
Female,18,2.46,70.54,Master,Yes,79.97,0,6.12,No,49.74,Pass
Female,15,4.33,60.16,Diploma,Yes,47.52,5,5.61,Yes,59.32,Pass
Female,15,3.58,79.82,Master,Yes,58.67,5,4.44,No,57.83,Pass
Female,18,2.63,64.01,Diploma,Yes,91.85,2,5.5,No,60.6,Pass
Male,17,2.81,90.18,Master,Yes,67.66,7,8.19,Yes,64.47,Pass
Female,16,3.59,71.04,High School,Yes,93.21,8,7.92,Yes,76.31,Pass
Female,15,0.53,77.75,Diploma,Yes,44.89,2,8.86,No,36.05,Fail
Male,16,0.93,63.48,High School,Yes,66.27,8,7.28,Yes,44.65,Pass
Female,18,5.35,71.47,Bachelor,Yes,43.43,7,6.77,No,61.79,Pass
Male,17,0.93,91.26,High School,Yes,74.66,4,5.48,Yes,46.77,Pass
Female,17,4.39,66.06,Diploma,Yes,44.33,5,4.38,No,57.82,Pass
Male,17,5.56,85.89,High School,No,49.65,0,7.09,No,55.06,Pass
Female,18,1.99,96.7,Diploma,Yes,54.24,4,6.44,Yes,42.22,Pass
Female,19,2.54,87.19,Master,Yes,81.18,9,7.8,Yes,74.24,Pass
Male,19,3.63,92.44,Bachelor,No,49.02,9,6.06,Yes,66.14,Pass
Male,16,5.35,64.36,High School,Yes,86.56,6,8.93,Yes,79.99,Pass
Male,19,5.68,70.03,Bachelor,Yes,47.25,0,5.99,No,58.21,Pass
Male,19,4.57,95.78,High School,Yes,41.94,9,5.67,Yes,69.81,Pass
Male,17,0.98,88.6,Diploma,No,61.73,8,8.35,No,53.29,Pass
Male,17,4.18,85.58,High School,No,93.87,6,5.98,No,81.09,Pass
Male,16,2.76,86.55,Bachelor,Yes,46.07,3,8.35,No,53.73,Pass
Male,15,3.09,76.57,High School,Yes,45.59,10,4.14,No,60.58,Pass
Female,16,0.77,61.78,Bachelor,No,81.31,3,7.46,Yes,54.78,Pass
Female,16,1.55,91.38,Bachelor,Yes,57.17,10,4.36,Yes,69.23,Pass
Male,18,4.85,87.15,Diploma,Yes,79.45,9,4.74,No,84.4,Pass
Female,18,3.0,78.91,Master,Yes,51.0,6,7.5,No,50.26,Pass
Female,16,2.16,95.99,Master,Yes,65.3,5,5.45,Yes,55.03,Pass
Female,16,2.61,73.45,High School,Yes,54.59,2,5.05,Yes,47.05,Pass
Female,16,5.2,71.77,Bachelor,Yes,64.83,8,8.01,No,75.21,Pass
Male,19,4.62,94.91,Diploma,Yes,82.3,5,8.73,No,76.16,Pass
Female,18,2.0,91.88,Master,Yes,81.91,10,5.16,No,78.03,Pass
Male,16,1.15,80.6,Diploma,Yes,68.37,1,5.59,Yes,38.91,Fail
Female,17,1.89,65.23,Diploma,Yes,91.06,9,7.57,Yes,72.24,Pass
Female,17,5.56,68.6,Bachelor,Yes,54.51,1,8.08,Yes,63.07,Pass
Female,19,3.7,86.25,High School,Yes,53.22,0,9.0,No,47.16,Pass
Male,19,3.43,75.4,Bachelor,No,73.76,10,5.37,Yes,69.06,Pass
Female,15,3.78,93.46,Master,Yes,74.17,4,6.78,No,64.89,Pass
Male,15,2.51,98.0,Master,Yes,42.56,9,4.67,Yes,52.17,Pass
Female,15,4.94,92.23,Diploma,Yes,73.43,5,5.65,No,69.76,Pass
Male,19,3.38,75.1,Bachelor,Yes,60.59,2,4.22,Yes,55.55,Pass
Female,19,1.14,91.55,Bachelor,Yes,81.11,3,5.05,No,54.62,Pass
Male,19,1.21,74.06,Diploma,Yes,84.45,4,6.53,No,58.8,Pass
Male,17,3.45,66.68,High School,Yes,70.37,3,4.82,No,60.49,Pass
Female,19,5.65,61.34,Diploma,No,40.09,8,8.45,Yes,65.39,Pass
Male,17,2.2,75.43,Diploma,Yes,75.0,2,7.55,Yes,47.49,Pass
Female,15,5.28,96.14,Master,Yes,81.19,4,4.14,No,78.11,Pass
Female,15,4.7,69.56,Bachelor,Yes,53.69,6,8.38,No,61.26,Pass
Female,15,1.86,68.26,Master,Yes,65.56,6,8.89,No,53.65,Pass
Female,16,0.7,98.79,Diploma,Yes,93.11,5,6.51,No,57.05,Pass
Female,16,1.06,61.0,Bachelor,Yes,56.4,8,5.57,No,54.48,Pass
Female,18,4.51,91.43,Diploma,Yes,52.27,6,5.32,No,53.4,Pass
Female,18,1.6,72.85,Diploma,Yes,51.6,10,4.44,No,58.5,Pass
Female,18,2.54,61.5,High School,Yes,70.73,3,6.46,No,53.89,Pass
Female,16,3.26,96.71,Master,Yes,92.24,10,4.25,No,87.3,Pass
Female,16,4.49,65.59,Master,No,73.48,9,6.52,Yes,70.29,Pass
Female,18,1.12,82.07,Diploma,Yes,56.68,8,5.26,No,52.25,Pass
Male,18,2.74,70.96,High School,Yes,75.12,5,6.38,No,58.7,Pass
Male,19,3.17,62.61,Diploma,Yes,74.37,0,6.09,No,51.07,Pass
Female,18,3.47,62.0,Diploma,No,72.83,8,5.53,No,68.77,Pass
Female,19,5.0,64.62,Diploma,No,48.77,10,6.24,Yes,68.57,Pass
Female,17,1.44,62.85,High School,Yes,74.9,6,6.37,No,54.9,Pass
Female,16,4.94,90.42,Bachelor,No,63.66,5,8.17,No,75.4,Pass
Female,18,4.31,79.42,High School,Yes,41.02,5,7.33,No,63.14,Pass
Female,16,3.56,73.72,Diploma,No,69.69,3,6.17,No,60.24,Pass
Female,16,4.35,76.73,Bachelor,Yes,94.41,3,8.53,No,80.52,Pass
Female,16,2.77,97.16,Diploma,Yes,59.24,10,7.78,Yes,60.04,Pass
Male,17,1.26,96.43,High School,Yes,93.11,2,4.38,No,61.21,Pass
Female,15,4.16,88.63,High School,Yes,45.29,7,4.77,No,62.84,Pass
Male,18,3.39,95.39,Bachelor,Yes,80.28,7,4.41,No,70.75,Pass
Female,15,4.02,72.79,High School,Yes,46.29,1,5.59,Yes,50.96,Pass
Female,15,2.36,75.24,Diploma,Yes,55.05,4,6.18,Yes,50.13,Pass
Male,15,5.49,84.55,Bachelor,Yes,71.4,8,6.52,Yes,77.47,Pass
Female,16,3.73,84.95,Master,Yes,72.6,8,8.26,Yes,75.68,Pass
Male,19,0.97,79.27,Diploma,No,82.64,6,4.09,No,57.61,Pass
Female,16,2.97,76.03,Master,No,73.84,3,6.14,No,54.42,Pass
Female,16,4.66,99.45,Bachelor,No,72.65,3,6.05,Yes,72.36,Pass
Male,15,4.87,92.84,Bachelor,Yes,90.18,9,8.74,Yes,79.18,Pass
Female,16,3.22,77.4,Diploma,Yes,64.87,10,5.21,No,78.0,Pass
Male,15,5.42,89.09,High School,Yes,52.39,6,4.61,Yes,73.5,Pass
Female,19,1.97,70.78,Diploma,Yes,48.9,2,4.71,No,31.03,Fail
Male,18,2.76,64.01,High School,Yes,62.0,2,6.6,Yes,55.07,Pass
Male,15,5.44,74.1,High School,Yes,79.2,4,5.95,Yes,74.71,Pass
Female,19,5.43,76.12,Diploma,No,42.34,10,7.77,Yes,61.41,Pass
Female,18,4.27,60.66,Bachelor,Yes,47.1,5,5.62,Yes,46.95,Pass
Male,17,5.22,92.59,Diploma,No,45.84,7,4.64,Yes,70.56,Pass
Female,15,0.99,74.37,Master,Yes,72.19,0,5.93,Yes,35.8,Fail
Female,15,5.26,83.22,Bachelor,Yes,53.36,6,8.42,No,63.59,Pass
Female,17,2.26,62.96,High School,Yes,49.14,7,6.03,No,51.78,Pass
Male,17,1.48,67.0,Bachelor,Yes,72.6,4,8.17,No,53.67,Pass
Male,15,1.82,95.59,Diploma,No,81.87,9,5.86,No,70.47,Pass
Male,17,2.8,84.35,Bachelor,Yes,58.27,1,5.41,Yes,43.21,Pass
Male,16,1.88,98.01,High School,Yes,71.8,3,7.87,No,50.17,Pass
Male,18,2.26,99.95,High School,Yes,45.4,5,5.05,Yes,44.15,Pass
Male,18,1.24,74.87,Bachelor,Yes,91.44,8,5.16,Yes,67.42,Pass
Male,18,2.13,71.95,Master,Yes,58.53,1,4.25,Yes,44.16,Pass
Male,16,3.65,94.33,High School,Yes,94.86,3,4.94,No,73.62,Pass
Male,17,2.93,99.94,Master,Yes,93.82,9,5.89,Yes,81.09,Pass
Female,19,2.41,85.19,High School,Yes,82.84,4,6.0,Yes,62.27,Pass
Male,17,4.61,91.81,Bachelor,Yes,41.1,7,6.1,Yes,67.14,Pass
Female,15,5.41,91.27,High School,No,69.89,7,6.4,Yes,78.62,Pass
Female,18,4.66,74.21,Master,Yes,44.78,1,6.86,No,55.05,Pass
Female,17,2.33,82.97,Master,Yes,89.23,5,4.95,Yes,63.68,Pass
Male,19,4.59,93.32,Bachelor,Yes,83.43,5,7.07,No,71.72,Pass
Male,15,1.34,87.52,Master,Yes,93.48,4,5.68,Yes,66.85,Pass
Male,16,1.22,60.85,Master,Yes,73.46,7,7.67,No,53.22,Pass
Male,16,2.4,73.47,Bachelor,Yes,68.72,9,6.79,No,64.29,Pass
Female,19,4.94,65.78,High School,No,68.54,1,6.77,No,56.56,Pass
Male,15,1.85,69.32,Bachelor,Yes,61.25,1,7.43,No,52.62,Pass
Male,18,0.85,96.22,High School,Yes,65.78,6,5.67,No,44.53,Pass
Male,17,1.22,61.48,High School,Yes,74.95,8,6.15,No,63.14,Pass
Male,15,5.22,68.79,High School,Yes,91.31,2,6.91,No,64.2,Pass
Male,16,3.99,72.38,Diploma,Yes,72.77,6,6.11,Yes,66.41,Pass
Female,19,1.89,84.68,High School,Yes,87.14,2,6.22,Yes,60.48,Pass
Male,19,3.55,81.36,Bachelor,Yes,87.45,5,5.36,No,79.26,Pass
Female,17,3.4,68.73,Bachelor,Yes,68.54,2,5.44,No,54.1,Pass
Male,19,4.1,66.57,Bachelor,No,59.11,0,7.49,No,48.1,Pass
Female,19,1.78,69.47,Diploma,Yes,75.18,5,4.02,Yes,56.94,Pass
Male,15,5.25,80.1,Master,No,64.52,10,4.48,Yes,88.32,Pass
Male,18,2.2,70.85,Diploma,No,44.48,2,8.74,Yes,40.73,Pass
Female,17,4.32,97.9,Bachelor,No,60.78,0,4.94,No,58.26,Pass
Female,15,0.59,78.55,Bachelor,Yes,94.67,4,6.09,No,53.47,Pass
Female,18,2.55,62.35,Master,No,42.67,7,8.25,No,54.6,Pass
Male,15,2.43,89.17,Diploma,Yes,78.32,7,4.0,Yes,58.56,Pass
Female,15,3.49,73.15,Bachelor,Yes,86.27,7,8.63,No,79.54,Pass
Male,19,0.9,86.14,High School,Yes,75.68,2,4.27,No,54.03,Pass
Male,18,4.85,71.18,High School,Yes,71.34,7,4.85,No,84.01,Pass
Female,17,1.7,82.83,Bachelor,No,78.92,3,4.15,Yes,60.98,Pass
Female,17,4.22,90.89,High School,Yes,63.61,7,6.6,No,66.94,Pass
Male,18,4.92,97.12,Master,Yes,45.02,2,8.72,No,63.65,Pass
Male,19,3.59,70.45,Bachelor,Yes,92.93,2,8.2,Yes,71.82,Pass
Female,16,4.57,73.39,Diploma,No,63.78,0,7.2,Yes,52.08,Pass
Female,15,4.14,78.57,Bachelor,Yes,76.6,7,4.93,Yes,74.24,Pass
Female,19,2.46,97.09,Master,Yes,69.22,7,8.35,Yes,49.13,Pass
Male,18,4.95,96.06,Diploma,Yes,43.01,8,7.77,No,60.66,Pass
Male,15,2.12,63.6,Master,Yes,92.4,5,5.33,No,68.02,Pass
Male,17,3.64,65.28,High School,Yes,83.59,1,8.03,No,68.34,Pass
Male,16,4.6,79.82,High School,Yes,48.2,0,8.39,Yes,54.39,Pass
Male,17,2.58,64.26,High School,No,93.99,7,7.49,Yes,71.2,Pass
Male,18,2.17,73.82,Master,Yes,80.53,9,4.5,Yes,63.28,Pass
Female,15,3.03,65.94,Master,Yes,65.98,3,8.92,Yes,57.36,Pass
Male,18,5.0,85.44,Bachelor,Yes,73.63,10,4.38,No,73.41,Pass
Male,15,5.61,97.98,Diploma,No,45.87,10,7.27,No,78.77,Pass
Male,19,3.5,99.87,Diploma,No,70.82,6,4.55,Yes,63.31,Pass
Female,16,4.14,75.01,Master,Yes,44.05,9,8.53,No,67.6,Pass
Male,19,5.47,83.96,Master,No,69.97,3,5.75,No,73.75,Pass
Male,19,1.04,94.25,High School,Yes,70.4,0,6.56,Yes,39.96,Fail
Female,18,1.78,64.7,Master,Yes,88.09,7,4.89,No,69.28,Pass
Male,16,4.4,87.58,High School,Yes,79.88,9,6.73,No,71.94,Pass
Male,15,5.03,76.35,Master,Yes,53.73,8,8.69,No,69.56,Pass
Male,15,5.21,68.25,Diploma,Yes,88.86,9,8.51,Yes,90.37,Pass
Male,17,2.78,76.11,Bachelor,Yes,71.53,8,4.32,Yes,69.23,Pass
Male,15,0.99,63.04,Master,No,73.35,8,5.89,Yes,53.82,Pass
Female,18,2.91,87.82,High School,Yes,49.29,10,5.34,Yes,67.46,Pass
Female,19,1.77,70.11,Bachelor,Yes,87.18,10,6.41,No,75.33,Pass
Female,19,2.1,72.46,High School,Yes,91.2,3,8.17,Yes,54.36,Pass
Male,19,4.75,64.84,High School,Yes,82.62,8,7.69,No,78.72,Pass
Male,16,0.92,94.59,Bachelor,No,91.74,10,5.72,No,71.73,Pass
Male,15,5.05,79.74,Bachelor,Yes,56.63,3,5.91,Yes,62.78,Pass
Female,18,2.85,82.89,Bachelor,No,87.36,1,7.27,Yes,63.54,Pass
Male,16,3.78,82.78,Master,Yes,66.89,9,4.97,Yes,69.87,Pass
Male,17,0.99,76.42,Bachelor,Yes,49.02,2,4.51,Yes,44.38,Pass
Female,18,2.36,67.7,Master,Yes,76.78,1,5.21,No,49.31,Pass
Male,18,0.99,89.81,Diploma,Yes,77.63,0,4.62,No,39.31,Fail
Female,18,5.79,65.08,Diploma,Yes,55.78,10,5.76,No,76.64,Pass
Female,19,4.94,64.15,High School,Yes,41.51,5,8.69,Yes,58.99,Pass
Female,18,3.03,88.41,High School,Yes,50.99,3,4.6,Yes,44.49,Pass
Male,15,1.73,68.35,Master,Yes,61.99,6,8.09,Yes,50.74,Pass
Male,18,5.63,72.27,High School,Yes,49.22,6,6.67,Yes,60.86,Pass
Male,19,2.4,79.01,Diploma,Yes,50.67,9,7.16,No,61.68,Pass
Male,18,1.39,77.97,Master,Yes,61.53,0,4.85,Yes,38.47,Fail
Male,17,3.6,88.34,Master,Yes,92.9,8,4.76,No,68.06,Pass
Male,17,5.69,84.94,Bachelor,Yes,82.03,7,4.81,No,88.95,Pass
Male,19,0.52,85.78,Master,Yes,57.59,9,7.34,No,46.36,Pass
Female,15,1.81,88.56,High School,No,92.34,0,7.74,Yes,68.18,Pass
Male,15,5.66,71.7,Diploma,No,75.51,7,8.6,Yes,76.26,Pass
Female,16,1.44,72.89,High School,Yes,65.05,4,5.99,No,45.62,Pass
Male,19,1.12,77.52,Diploma,Yes,65.76,0,6.31,Yes,40.46,Pass
Male,18,3.64,72.3,Bachelor,Yes,62.59,3,6.35,Yes,44.39,Pass
Male,19,5.24,99.4,Diploma,Yes,52.81,6,5.35,Yes,71.47,Pass
Female,16,3.12,92.56,Bachelor,No,61.26,4,5.64,No,60.87,Pass
Female,19,5.97,66.59,High School,No,69.03,10,8.23,No,88.65,Pass
Female,19,4.24,60.22,Bachelor,No,69.04,2,5.72,No,60.24,Pass
Female,16,0.91,61.71,Master,Yes,81.9,10,8.35,No,63.94,Pass
Male,15,5.96,69.76,Master,No,59.73,3,5.53,No,59.08,Pass
Female,18,2.74,64.57,Diploma,Yes,79.42,1,5.7,Yes,56.39,Pass
Male,16,2.08,81.33,High School,No,71.8,7,6.8,Yes,61.04,Pass
Male,17,3.57,94.32,High School,Yes,92.9,1,4.52,No,64.31,Pass
Female,15,2.17,89.47,Diploma,Yes,61.19,10,8.61,No,59.11,Pass
Female,17,0.98,68.62,Master,Yes,89.57,5,8.1,No,59.99,Pass
Female,15,0.51,75.97,Bachelor,Yes,85.14,6,7.35,No,54.59,Pass
Female,18,2.97,80.32,Diploma,Yes,75.07,6,8.94,Yes,55.5,Pass
Female,18,5.1,92.41,Bachelor,No,76.0,0,4.08,No,64.03,Pass
Female,19,3.65,93.56,Bachelor,Yes,44.66,7,6.06,Yes,55.62,Pass
Female,17,6.0,96.39,High School,Yes,92.26,8,8.29,No,96.92,Pass
Female,15,2.08,80.37,Master,Yes,45.88,6,6.17,Yes,47.96,Pass
Male,18,2.04,87.77,Bachelor,Yes,70.98,7,4.03,Yes,60.06,Pass
Female,16,1.38,64.47,Master,No,58.15,3,4.79,Yes,44.15,Pass
Female,18,1.4,82.61,High School,Yes,63.64,7,6.17,No,63.09,Pass
Male,16,2.07,69.95,Diploma,Yes,73.56,2,7.34,No,52.8,Pass
Female,15,4.86,77.27,Diploma,No,89.99,0,4.81,No,64.07,Pass
Male,18,5.48,85.36,High School,No,65.17,7,6.24,No,68.22,Pass
Male,18,5.86,70.28,High School,Yes,94.33,10,4.06,Yes,100.0,Pass
Female,15,1.78,62.09,Bachelor,Yes,72.6,5,6.39,No,41.89,Pass
Male,18,5.35,60.41,High School,Yes,48.83,8,8.48,No,68.21,Pass
Male,16,2.31,60.89,Diploma,Yes,50.45,2,6.98,No,53.57,Pass
Male,18,1.12,60.33,Master,Yes,79.39,7,6.2,No,48.5,Pass
Male,17,5.29,64.41,Master,No,42.77,8,4.81,No,60.41,Pass
Female,19,4.0,69.58,Master,Yes,66.42,8,5.01,Yes,70.52,Pass
Male,16,1.41,68.85,Master,Yes,48.15,6,4.38,Yes,41.17,Pass
Female,17,2.86,99.47,High School,Yes,63.83,10,7.71,Yes,69.2,Pass
Male,15,2.08,72.24,High School,Yes,81.25,9,4.39,No,70.25,Pass
Male,16,4.55,65.1,Master,No,65.23,2,5.92,No,62.2,Pass
Male,19,2.99,81.82,High School,Yes,48.99,2,7.75,Yes,52.27,Pass
Male,19,5.94,94.32,Bachelor,Yes,53.86,1,7.56,No,54.77,Pass
Female,15,0.8,87.12,High School,Yes,60.21,0,6.89,Yes,43.13,Pass
Female,15,2.45,71.84,Bachelor,Yes,43.83,1,6.86,Yes,45.7,Pass
Male,16,3.15,82.46,Bachelor,No,72.14,4,4.45,Yes,65.08,Pass
Male,18,3.27,88.59,High School,Yes,73.41,0,4.87,Yes,48.91,Pass
Female,15,2.24,89.12,Master,Yes,43.42,9,6.67,Yes,49.57,Pass
Male,18,4.51,86.66,Bachelor,Yes,62.13,3,5.74,No,63.55,Pass
Male,17,5.31,94.83,High School,Yes,62.77,10,4.09,No,84.36,Pass
Male,19,5.66,94.8,Diploma,Yes,58.36,9,7.99,No,85.0,Pass
Female,18,4.93,83.16,Master,Yes,70.68,9,7.27,No,76.83,Pass
Female,19,5.18,77.19,Diploma,No,59.03,0,5.63,Yes,60.36,Pass
Female,18,3.53,85.66,Bachelor,Yes,62.9,9,4.49,Yes,72.24,Pass
Male,17,5.04,92.73,Diploma,Yes,83.86,7,6.96,Yes,78.74,Pass
Male,15,2.17,60.23,High School,No,48.92,4,5.74,Yes,42.24,Pass
Female,17,2.69,99.68,Master,No,74.05,9,5.28,No,63.05,Pass
Female,15,2.24,67.32,Bachelor,No,67.81,3,7.61,Yes,45.74,Pass
Female,15,3.07,78.81,High School,No,56.78,2,5.64,Yes,46.79,Pass
Female,19,2.07,94.88,Master,Yes,80.01,8,4.68,Yes,70.45,Pass
Male,17,5.79,69.0,Bachelor,Yes,70.32,5,6.41,No,85.29,Pass
Female,18,2.22,79.07,Bachelor,Yes,66.25,0,8.14,Yes,47.93,Pass
Male,17,1.04,65.3,Bachelor,Yes,76.72,7,8.25,Yes,50.2,Pass
Female,19,3.4,75.8,Bachelor,No,84.13,9,8.25,Yes,73.85,Pass
Male,15,0.81,67.09,Diploma,Yes,93.5,1,6.1,No,55.41,Pass
Female,19,1.11,74.55,Diploma,Yes,74.61,8,7.95,No,54.83,Pass
Female,16,1.71,74.94,Diploma,No,88.09,10,8.25,Yes,78.78,Pass
Female,16,3.05,99.73,Bachelor,Yes,40.06,6,6.3,No,56.67,Pass
Female,18,2.88,99.79,Diploma,Yes,69.16,2,5.59,No,54.79,Pass
Male,19,4.9,64.59,Master,Yes,51.81,3,7.51,Yes,48.12,Pass
Female,18,4.57,89.04,Bachelor,Yes,45.18,2,8.52,No,58.86,Pass
Male,18,2.84,62.07,Master,Yes,69.26,5,8.86,No,61.33,Pass
Male,16,2.34,61.21,Master,No,81.08,8,5.45,Yes,68.62,Pass
Male,18,2.24,64.21,Diploma,Yes,62.67,9,8.78,Yes,74.06,Pass
Male,16,4.76,98.62,Bachelor,No,76.86,8,6.5,No,75.73,Pass
Female,15,0.79,97.63,Diploma,Yes,66.93,0,5.53,Yes,48.09,Pass
Male,19,0.57,67.76,Diploma,Yes,64.04,9,8.94,No,52.31,Pass
Male,18,4.88,66.47,Diploma,Yes,55.96,5,8.39,Yes,64.71,Pass
Male,16,3.12,69.62,Bachelor,Yes,61.04,0,7.46,No,48.54,Pass
Female,17,1.22,80.62,Bachelor,No,59.24,10,8.47,Yes,62.03,Pass
Female,18,1.8,82.79,Diploma,Yes,75.54,3,7.41,No,49.92,Pass
Female,15,5.63,68.86,Master,No,46.38,6,6.2,No,77.56,Pass
Female,15,5.23,90.26,Master,No,45.1,3,8.74,No,53.69,Pass
Male,17,4.4,72.38,Bachelor,No,76.3,8,8.82,No,73.97,Pass
Male,16,3.15,96.89,High School,Yes,70.05,9,5.57,No,80.68,Pass
Female,18,3.36,86.27,Diploma,No,63.66,4,5.77,No,64.79,Pass
Male,16,5.86,77.45,Diploma,Yes,48.38,8,5.91,No,70.61,Pass
Male,15,5.81,91.6,High School,Yes,62.61,0,8.11,No,66.66,Pass
Male,16,1.68,92.72,Bachelor,Yes,83.44,3,7.96,Yes,51.66,Pass
Female,15,4.96,71.62,Master,No,88.93,6,8.92,No,75.48,Pass
Female,16,1.58,73.59,Bachelor,Yes,78.64,1,6.33,Yes,46.89,Pass
Male,17,1.67,97.44,Master,Yes,43.3,8,7.68,Yes,58.55,Pass
Female,19,4.22,66.59,Master,Yes,76.87,2,8.28,No,51.98,Pass
Female,17,2.73,61.69,Bachelor,Yes,53.25,3,5.11,Yes,51.52,Pass
Female,17,5.62,78.16,Diploma,Yes,57.34,3,7.1,Yes,62.87,Pass
Female,19,0.99,92.05,Diploma,No,50.77,7,6.74,Yes,51.57,Pass
Female,19,3.31,90.87,Diploma,Yes,82.67,1,7.71,Yes,63.62,Pass
Male,18,5.55,96.78,Master,No,75.67,4,7.48,Yes,75.56,Pass
Female,18,5.47,81.33,Diploma,Yes,73.65,1,8.06,Yes,63.17,Pass
Male,17,1.36,64.0,Master,No,76.74,5,5.56,No,50.56,Pass
Male,17,2.52,83.55,Diploma,Yes,53.02,8,5.08,No,56.6,Pass
Female,15,3.91,91.14,Bachelor,Yes,64.46,8,8.03,Yes,62.32,Pass
Male,15,1.38,63.73,High School,Yes,74.83,0,5.8,No,43.65,Pass
Male,18,5.82,66.91,Master,Yes,75.01,3,5.44,Yes,68.27,Pass
Male,18,5.53,60.49,Bachelor,No,83.55,3,5.68,Yes,70.8,Pass
Female,15,1.42,83.75,Master,Yes,55.79,0,4.33,Yes,36.76,Fail
Female,15,1.17,95.47,Master,No,82.37,9,7.87,No,70.1,Pass
Male,16,0.97,86.83,Bachelor,Yes,64.21,1,7.58,No,47.41,Pass
Female,16,5.5,99.28,Diploma,Yes,76.86,5,6.76,No,85.04,Pass
Female,15,1.56,62.52,Master,Yes,65.06,9,7.58,Yes,60.13,Pass
Female,16,2.79,96.12,High School,Yes,92.17,2,5.87,No,62.48,Pass
Female,19,2.97,92.56,High School,Yes,49.86,8,5.48,No,53.51,Pass
Male,18,3.79,72.57,Bachelor,Yes,77.13,2,8.31,Yes,73.26,Pass
Male,18,0.89,98.94,High School,No,71.71,2,6.11,No,55.93,Pass
Female,15,1.75,71.52,Bachelor,Yes,49.5,8,4.98,No,56.16,Pass
Female,17,5.62,95.57,Bachelor,Yes,43.63,2,7.75,No,62.4,Pass
Male,15,5.5,95.23,Master,Yes,83.95,5,5.68,No,78.83,Pass
